Datetime,Close_tsla,Close_vt,TSLA Value,VT Value,TSLA P&L,VT P&L,Total P&L
2020-11-30 18:30:00+01:00,582.21,88.865,-2911.05,2843.68,0.0,0.0,0.0
2020-11-30 19:00:00+01:00,579.8599853515625,88.8499984741211,-2899.2999267578125,2843.199951171875,11.750073242187682,-0.4800488281248363,11.270024414062846
2020-11-30 19:30:00+01:00,580.4661865234375,88.82499694824219,-2902.3309326171875,2842.39990234375,8.719067382812682,-1.2800976562498363,7.438969726562846
2020-11-30 20:00:00+01:00,580.6099853515625,88.86000061035156,-2903.0499267578125,2843.52001953125,8.000073242187682,-0.1599804687498363,7.840092773437846
2020-11-30 20:30:00+01:00,583.8599853515625,89.01409912109375,-2919.2999267578125,2848.451171875,-8.249926757812318,4.771171875000164,-3.4787548828121544
2020-11-30 21:00:00+01:00,578.8681030273438,88.7699966430664,-2894.3405151367188,2840.639892578125,16.709484863281432,-3.0401074218748363,13.669377441406596
2020-11-30 21:30:00+01:00,566.905029296875,88.75,-2834.525146484375,2840.0,76.52485351562518,-3.6799999999998363,72.84485351562535
2020-12-01 15:30:00+01:00,588.9312133789062,89.95999908447266,-2944.6560668945312,2878.719970703125,-33.60606689453107,35.039970703125164,1.4339038085940956
2020-12-01 16:00:00+01:00,581.8319702148438,90.08999633789062,-2909.1598510742188,2882.8798828125,1.890148925781432,39.199882812500164,41.090031738281596
2020-12-01 16:30:00+01:00,584.6749877929688,89.98999786376953,-2923.3749389648438,2879.679931640625,-12.324938964843568,35.999931640625164,23.674992675781596
2020-12-01 17:00:00+01:00,580.969970703125,90.13999938964844,-2904.849853515625,2884.47998046875,6.200146484375182,40.799980468750164,47.000126953125346
2020-12-01 17:30:00+01:00,584.1602172851562,90.00499725341797,-2920.8010864257812,2880.159912109375,-9.751086425781068,36.479912109375164,26.728825683594096
2020-12-01 18:00:00+01:00,582.52001953125,90.12000274658203,-2912.60009765625,2883.840087890625,-1.550097656249818,40.160087890625164,38.609990234375346
2020-12-01 18:30:00+01:00,579.6950073242188,90.11000061035156,-2898.4750366210938,2883.52001953125,12.574963378906432,39.840019531250164,52.414982910156596
2020-12-01 19:00:00+01:00,582.4000244140625,90.19000244140625,-2912.0001220703125,2886.080078125,-0.9501220703123181,42.400078125000164,41.449956054687846
2020-12-01 19:30:00+01:00,582.5900268554688,90.23999786376953,-2912.9501342773438,2887.679931640625,-1.900134277343568,43.999931640625164,42.099797363281596
